arrondissement_id,arrondissement_nom,latitude,longitude,phosphore,zinc,magnesium,potassium,calucium,cec,azote,silt,sand,clay,ph,texture
1,FOUNOUGO,11.4763029,2.5323912,630.00000,331.00000,271.00000,106.00000,255.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Non classé
2,GOMPAROU,11.3285762,2.4715422,448.00000,215.00000,193.00000,117.00000,255.00000,105.00000,112.00000,267.00000,547.00000,186.00000,64.00000,limon sableux
3,GOUMORI,11.1784354,2.2999821,455.00000,162.00000,185.00000,87.00000,255.00000,75.00000,191.00000,239.00000,502.00000,259.00000,66.00000,limon argilo-sableux
4,KOKEY,11.301,2.5296,362.00000,166.00000,197.00000,106.00000,255.00000,97.00000,104.00000,263.00000,551.00000,186.00000,64.00000,limon sableux
5,KOKIBOROU,11.2023317,2.3209297,357.00000,154.00000,182.00000,99.00000,255.00000,104.00000,154.00000,297.00000,454.00000,250.00000,67.00000,limon
6,OUNET,11.2271492,2.4048166,361.00000,163.00000,201.00000,135.00000,255.00000,86.00000,178.00000,228.00000,526.00000,245.00000,65.00000,limon argilo-sableux
7,SOMPEROUKOU,11.239,2.4911,438.00000,194.00000,208.00000,133.00000,255.00000,98.00000,129.00000,283.00000,555.00000,162.00000,64.00000,limon sableux
8,SOROKO,11.3370916,2.3832133,452.00000,198.00000,197.00000,137.00000,255.00000,107.00000,127.00000,274.00000,519.00000,207.00000,64.00000,limon argilo-sableux
9,TOURA,11.2400973,2.3788939,433.00000,251.00000,195.00000,123.00000,255.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Non classé
10,BANIKOARA,11.2934532,2.435696,433.00000,202.00000,214.00000,128.00000,255.00000,113.00000,146.00000,265.00000,515.00000,219.00000,67.00000,limon argilo-sableux
11,BAGOU,10.8120376,2.7244889,673.00000,291.00000,218.00000,129.00000,255.00000,98.00000,145.00000,266.00000,556.00000,178.00000,67.00000,limon sableux
12,GOUNAROU,10.8701437,2.8464905,400.00000,212.00000,203.00000,114.00000,255.00000,77.00000,168.00000,271.00000,512.00000,217.00000,64.00000,limon argilo-sableux
13,SORI,10.7185503,2.7842053,426.00000,186.00000,200.00000,100.00000,255.00000,72.00000,164.00000,254.00000,550.00000,196.00000,64.00000,limon sableux
14,SOUGOU-KPAN-TROSSI,10.73,2.9711,508.00000,247.00000,214.00000,154.00000,255.00000,90.00000,157.00000,251.00000,572.00000,177.00000,64.00000,limon sableux
15,WARA,10.67409,2.67372,406.00000,203.00000,188.00000,124.00000,255.00000,91.00000,153.00000,275.00000,546.00000,179.00000,65.00000,limon sableux
16,GOGOUNOU,10.7889897,2.6189273,441.00000,225.00000,195.00000,147.00000,255.00000,97.00000,143.00000,267.00000,560.00000,173.00000,64.00000,limon sableux
17,ANGARADEBOU,11.3232934,3.0413461,430.00000,201.00000,245.00000,95.00000,255.00000,106.00000,124.00000,247.00000,499.00000,254.00000,64.00000,limon argilo-sableux
18,BENSEKOU,10.9856632,3.1516147,327.00000,228.00000,197.00000,141.00000,255.00000,102.00000,111.00000,298.00000,453.00000,249.00000,63.00000,limon
19,DONWARI,11.1185484,2.8539702,530.00000,273.00000,249.00000,114.00000,255.00000,102.00000,120.00000,271.00000,465.00000,265.00000,64.00000,limon argilo-sableux
20,KASSAKOU,11.0813285,2.9038652,484.00000,239.00000,221.00000,132.00000,255.00000,92.00000,141.00000,280.00000,468.00000,252.00000,63.00000,limon
21,SAAH,11.1742306,3.0673443,438.00000,192.00000,202.00000,127.00000,255.00000,96.00000,126.00000,280.00000,460.00000,260.00000,63.00000,limon
22,SAM,10.9506,2.7328,409.00000,180.00000,212.00000,134.00000,255.00000,79.00000,189.00000,282.00000,521.00000,196.00000,64.00000,limon sableux
23,SONSORO,11.0854809,2.7618028,433.00000,169.00000,254.00000,131.00000,255.00000,119.00000,118.00000,269.00000,482.00000,249.00000,65.00000,limon argilo-sableux
24,KANDI I,11.1305191,2.9325785,562.00000,269.00000,301.00000,114.00000,255.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Non classé
25,KANDI II,11.1305191,2.9325785,562.00000,269.00000,301.00000,114.00000,255.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Non classé
26,KANDI III,11.1305191,2.9325785,562.00000,269.00000,301.00000,114.00000,255.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Non classé
27,BIRNI-LAFIA,11.9777456,3.2219164,374.00000,197.00000,214.00000,109.00000,255.00000,102.00000,95.00000,274.00000,485.00000,241.00000,56.00000,limon argilo-sableux
28,BOGO-BOGO,12.1038337,3.1058477,574.00000,225.00000,200.00000,112.00000,255.00000,120.00000,107.00000,222.00000,629.00000,149.00000,60.00000,
29,KOMPA,12.2052775,3.033837,474.00000,243.00000,188.00000,106.00000,255.00000,89.00000,94.00000,244.00000,556.00000,199.00000,58.00000,limon sableux
30,MONSEY,12.2914805,2.9244621,492.00000,202.00000,354.00000,125.00000,255.00000,99.00000,86.00000,219.00000,577.00000,203.00000,60.00000,limon argilo-sableux
31,KARIMAMA,12.0694249,3.1842421,379.00000,221.00000,185.00000,97.00000,255.00000,69.00000,78.00000,214.00000,619.00000,168.00000,56.00000,limon sableux
32,GAROU,11.7967555,3.4776092,471.00000,170.00000,202.00000,99.00000,255.00000,66.00000,105.00000,157.00000,716.00000,127.00000,59.00000,sable limoneux
33,GUENE,11.7172493,3.2231727,435.00000,164.00000,222.00000,104.00000,255.00000,82.00000,108.00000,239.00000,626.00000,135.00000,62.00000,
34,MADECALI,11.7034605,3.5496428,437.00000,261.00000,237.00000,143.00000,255.00000,113.00000,101.00000,205.00000,634.00000,160.00000,61.00000,limon sableux
35,TOUMBOUTOU,11.8544767,3.2898035,551.00000,174.00000,187.00000,101.00000,255.00000,114.00000,121.00000,315.00000,468.00000,217.00000,56.00000,limon
36,MALANVILLE,11.8633332,3.3842473,446.00000,243.00000,286.00000,109.00000,255.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Non classé
37,LIBANTE,10.7864049,3.5850658,390.00000,194.00000,182.00000,127.00000,255.00000,78.00000,123.00000,247.00000,556.00000,197.00000,62.00000,limon sableux
38,LIBOUSSOU,10.919943,3.488976,492.00000,183.00000,201.00000,134.00000,255.00000,91.00000,140.00000,248.00000,553.00000,198.00000,62.00000,limon sableux
39,LOUGOU,11.1188324,3.3754249,455.00000,256.00000,192.00000,118.00000,255.00000,84.00000,181.00000,278.00000,492.00000,230.00000,65.00000,limon argilo-sableux
40,SOKOTINDJI,10.8501469,3.428383,343.00000,198.00000,191.00000,117.00000,255.00000,91.00000,149.00000,235.00000,588.00000,177.00000,62.00000,limon sableux
41,SEGBANA,10.9274024,3.6952896,611.00000,224.00000,227.00000,104.00000,255.00000,81.00000,117.00000,249.00000,532.00000,219.00000,64.00000,limon argilo-sableux
42,DIPOLI,10.2163,1.0986,538.00000,514.00000,231.00000,89.00000,255.00000,116.00000,175.00000,235.00000,556.00000,209.00000,63.00000,limon argilo-sableux
